	infinitive	infinitive_english	mood	mood_english	tense	tense_english	verb_english	form_1s	form_2s	form_3s	form_1p	form_2p	form_3p	gerund	gerund_english	pastparticiple	pastparticiple_english	importance
1565	batir	to beat, hammer, pound [on]	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had beaten	hubiera batido	hubieras batido	hubiera batido	hubiéramos batido	hubierais batido	hubieran batido	batiendo	beating	batido	beat	[255]
1566	batir	to beat, hammer, pound [on]	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Beat! Don't beat!		bate	batid		bata	batan	batiendo	beating	batido	beat	[255]
1567	batir	to beat, hammer, pound [on]	Imperativo Negativo	Imperative Negative	Presente	Present	Beat! Don't beat!		no batas	no batáis		no bata	no batan	batiendo	beating	batido	beat	[255]
1568	bautizar	to baptize, christen	Indicativo	Indicative	Presente	Present	I baptize, am baptizing	bautizo	bautizas	bautiza	bautizamos	bautizáis	bautizan	bautizando	baptizing	bautizado	baptized	[255]
1569	bautizar	to baptize, christen	Indicativo	Indicative	Futuro	Future	I will baptize	bautizaré	bautizarás	bautizará	bautizaremos	bautizaréis	bautizarán	bautizando	baptizing	bautizado	baptized	[255]
1570	bautizar	to baptize, christen	Indicativo	Indicative	Imperfecto	Imperfect	I was baptizing, used to baptize, baptized	bautizaba	bautizabas	bautizaba	bautizábamos	bautizabais	bautizaban	bautizando	baptizing	bautizado	baptized	[255]
1571	bautizar	to baptize, christen	Indicativo	Indicative	Pretérito	Preterite	I baptized	bauticé	bautizaste	bautizó	bautizamos	bautizasteis	bautizaron	bautizando	baptizing	bautizado	baptized	[255]
1572	bautizar	to baptize, christen	Indicativo	Indicative	Condicional	Conditional	I would baptize	bautizaría	bautizarías	bautizaría	bautizaríamos	bautizaríais	bautizarían	bautizando	baptizing	bautizado	baptized	[255]
1573	bautizar	to baptize, christen	Indicativo	Indicative	Presente perfecto	Present Perfect	I have baptized	he bautizado	has bautizado	ha bautizado	hemos bautizado	habéis bautizado	han bautizado	bautizando	baptizing	bautizado	baptized	[255]
1574	bautizar	to baptize, christen	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have baptized	habré bautizado	habrás bautizado	habrá bautizado	habremos bautizado	habréis bautizado	habrán bautizado	bautizando	baptizing	bautizado	baptized	[255]
1575	bautizar	to baptize, christen	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had baptized	había bautizado	habías bautizado	había bautizado	habíamos bautizado	habíais bautizado	habían bautizado	bautizando	baptizing	bautizado	baptized	[255]
1576	bautizar	to baptize, christen	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had baptized	hube bautizado	hubiste bautizado	hubo bautizado	hubimos bautizado	hubisteis bautizado	hubieron bautizado	bautizando	baptizing	bautizado	baptized	[255]
1577	bautizar	to baptize, christen	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have baptized	habría bautizado	habrías bautizado	habría bautizado	habríamos bautizado	habríais bautizado	habrían bautizado	bautizando	baptizing	bautizado	baptized	[255]
1578	bautizar	to baptize, christen	Subjuntivo	Subjunctive	Presente	Present	I baptize, am baptizing	bautice	bautices	bautice	bauticemos	bauticéis	bauticen	bautizando	baptizing	bautizado	baptized	[255]
1579	bautizar	to baptize, christen	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I baptized, was baptizing	bautizara	bautizaras	bautizara	bautizáramos	bautizarais	bautizaran	bautizando	baptizing	bautizado	baptized	[255]
1580	bautizar	to baptize, christen	Subjuntivo	Subjunctive	Futuro	Future	I will baptize	bautizare	bautizares	bautizare	bautizáremos	bautizareis	bautizaren	bautizando	baptizing	bautizado	baptized	[255]
1581	bautizar	to baptize, christen	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have baptized, baptized	haya bautizado	hayas bautizado	haya bautizado	hayamos bautizado	hayáis bautizado	hayan bautizado	bautizando	baptizing	bautizado	baptized	[255]
1582	bautizar	to baptize, christen	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have baptized	hubiere bautizado	hubieres bautizado	hubiere bautizado	hubiéremos bautizado	hubiereis bautizado	hubieren bautizado	bautizando	baptizing	bautizado	baptized	[255]
1583	bautizar	to baptize, christen	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had baptized	hubiera bautizado	hubieras bautizado	hubiera bautizado	hubiéramos bautizado	hubierais bautizado	hubieran bautizado	bautizando	baptizing	bautizado	baptized	[255]
1584	bautizar	to baptize, christen	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Baptize! Don't baptize!		bautiza	bautizad		bautice	bauticen	bautizando	baptizing	bautizado	baptized	[255]
1585	bautizar	to baptize, christen	Imperativo Negativo	Imperative Negative	Presente	Present	Baptize! Don't baptize!		no bautices	no bauticéis		no bautice	no bauticen	bautizando	baptizing	bautizado	baptized	[255]
1586	beber	to drink	Indicativo	Indicative	Presente	Present	I drink, am drinking	bebo	bebes	bebe	bebemos	bebéis	beben	bebiendo	drinking	bebido	drunk	[255]
1587	beber	to drink	Indicativo	Indicative	Futuro	Future	I will drink	beberé	beberás	beberá	beberemos	beberéis	beberán	bebiendo	drinking	bebido	drunk	[255]
1588	beber	to drink	Indicativo	Indicative	Imperfecto	Imperfect	I was drinking, used to drink, drank	bebía	bebías	bebía	bebíamos	bebíais	bebían	bebiendo	drinking	bebido	drunk	[255]
1589	beber	to drink	Indicativo	Indicative	Pretérito	Preterite	I drank	bebí	bebiste	bebió	bebimos	bebisteis	bebieron	bebiendo	drinking	bebido	drunk	[255]
1590	beber	to drink	Indicativo	Indicative	Condicional	Conditional	I would drink	bebería	beberías	bebería	beberíamos	beberíais	beberían	bebiendo	drinking	bebido	drunk	[255]
1591	beber	to drink	Indicativo	Indicative	Presente perfecto	Present Perfect	I have drunk	he bebido	has bebido	ha bebido	hemos bebido	habéis bebido	han bebido	bebiendo	drinking	bebido	drunk	[255]
1592	beber	to drink	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have drunk	habré bebido	habrás bebido	habrá bebido	habremos bebido	habréis bebido	habrán bebido	bebiendo	drinking	bebido	drunk	[255]
1593	beber	to drink	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had drunk	había bebido	habías bebido	había bebido	habíamos bebido	habíais bebido	habían bebido	bebiendo	drinking	bebido	drunk	[255]
1594	beber	to drink	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had drunk	hube bebido	hubiste bebido	hubo bebido	hubimos bebido	hubisteis bebido	hubieron bebido	bebiendo	drinking	bebido	drunk	[255]
1595	beber	to drink	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have drunk	habría bebido	habrías bebido	habría bebido	habríamos bebido	habríais bebido	habrían bebido	bebiendo	drinking	bebido	drunk	[255]
1596	beber	to drink	Subjuntivo	Subjunctive	Presente	Present	I drink, am drinking	beba	bebas	beba	bebamos	bebáis	beban	bebiendo	drinking	bebido	drunk	[255]
1597	beber	to drink	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I drank, was drinking	bebiera	bebieras	bebiera	bebiéramos	bebierais	bebieran	bebiendo	drinking	bebido	drunk	[255]
1598	beber	to drink	Subjuntivo	Subjunctive	Futuro	Future	I will drink	bebiere	bebieres	bebiere	bebiéremos	bebiereis	bebieren	bebiendo	drinking	bebido	drunk	[255]
1599	beber	to drink	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have drunk, drank	haya bebido	hayas bebido	haya bebido	hayamos bebido	hayáis bebido	hayan bebido	bebiendo	drinking	bebido	drunk	[255]
1600	beber	to drink	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have drunk	hubiere bebido	hubieres bebido	hubiere bebido	hubiéremos bebido	hubiereis bebido	hubieren bebido	bebiendo	drinking	bebido	drunk	[255]
1601	beber	to drink	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had drunk	hubiera bebido	hubieras bebido	hubiera bebido	hubiéramos bebido	hubierais bebido	hubieran bebido	bebiendo	drinking	bebido	drunk	[255]
1602	beber	to drink	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Drink! Don't drink!		bebe	bebed		beba	beban	bebiendo	drinking	bebido	drunk	[255]
1603	beber	to drink	Imperativo Negativo	Imperative Negative	Presente	Present	Drink! Don't drink!		no bebas	no bebáis		no beba	no beban	bebiendo	drinking	bebido	drunk	[255]
1604	bendecir	to bless, foretell, forecast	Indicativo	Indicative	Presente	Present	I bless, am blessing	bendigo	bendices	bendice	bendecimos	bendecís	bendicen	bendiciendo	blessing	bendito	blessed	[255]
1605	bendecir	to bless, foretell, forecast	Indicativo	Indicative	Futuro	Future	I will bless	bendeciré	bendecirás	bendecirá	bendeciremos	bendeciréis	bendecirán	bendiciendo	blessing	bendito	blessed	[255]
1606	bendecir	to bless, foretell, forecast	Indicativo	Indicative	Imperfecto	Imperfect	I was blessing, used to bless, blessed	bendecía	bendecías	bendecía	bendecíamos	bendecíais	bendecían	bendiciendo	blessing	bendito	blessed	[255]
1607	bendecir	to bless, foretell, forecast	Indicativo	Indicative	Pretérito	Preterite	I blessed	bendije	bendijiste	bendijo	bendijimos	bendijisteis	bendijeron	bendiciendo	blessing	bendito	blessed	[255]
1608	bendecir	to bless, foretell, forecast	Indicativo	Indicative	Condicional	Conditional	I would bless	bendeciría	bendecirías	bendeciría	bendeciríamos	bendeciríais	bendecirían	bendiciendo	blessing	bendito	blessed	[255]
1609	bendecir	to bless, foretell, forecast	Indicativo	Indicative	Presente perfecto	Present Perfect	I have blessed	he bendecido	has bendecido	ha bendecido	hemos bendecido	habéis bendecido	han bendecido	bendiciendo	blessing	bendito	blessed	[255]
1610	bendecir	to bless, foretell, forecast	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have blessed	habré bendecido	habrás bendecido	habrá bendecido	habremos bendecido	habréis bendecido	habrán bendecido	bendiciendo	blessing	bendito	blessed	[255]
1611	bendecir	to bless, foretell, forecast	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had blessed	había bendecido	habías bendecido	había bendecido	habíamos bendecido	habíais bendecido	habían bendecido	bendiciendo	blessing	bendito	blessed	[255]
1612	bendecir	to bless, foretell, forecast	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had blessed	hube bendecido	hubiste bendecido	hubo bendecido	hubimos bendecido	hubisteis bendecido	hubieron bendecido	bendiciendo	blessing	bendito	blessed	[255]
1613	bendecir	to bless, foretell, forecast	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have blessed	habría bendecido	habrías bendecido	habría bendecido	habríamos bendecido	habríais bendecido	habrían bendecido	bendiciendo	blessing	bendito	blessed	[255]
1614	bendecir	to bless, foretell, forecast	Subjuntivo	Subjunctive	Presente	Present	I bless, am blessing	bendiga	bendigas	bendiga	bendigamos	bendigáis	bendigan	bendiciendo	blessing	bendito	blessed	[255]
1615	bendecir	to bless, foretell, forecast	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I blessed, was blessing	bendijera	bendijeras	bendijera	bendijéramos	bendijerais	bendijeran	bendiciendo	blessing	bendito	blessed	[255]
1616	bendecir	to bless, foretell, forecast	Subjuntivo	Subjunctive	Futuro	Future	I will bless	bendijere	bendijeres	bendijere	bendijéremos	bendijereis	bendijeren	bendiciendo	blessing	bendito	blessed	[255]
1617	bendecir	to bless, foretell, forecast	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have blessed, blessed	haya bendecido	hayas bendecido	haya bendecido	hayamos bendecido	hayáis bendecido	hayan bendecido	bendiciendo	blessing	bendito	blessed	[255]
1618	bendecir	to bless, foretell, forecast	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have blessed	hubiere bendecido	hubieres bendecido	hubiere bendecido	hubiéremos bendecido	hubiereis bendecido	hubieren bendecido	bendiciendo	blessing	bendito	blessed	[255]
1619	bendecir	to bless, foretell, forecast	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had blessed	hubiera bendecido	hubieras bendecido	hubiera bendecido	hubiéramos bendecido	hubierais bendecido	hubieran bendecido	bendiciendo	blessing	bendito	blessed	[255]
1620	bendecir	to bless, foretell, forecast	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Bless! Don't bless!		bendice	bendecid		bendiga	bendigan	bendiciendo	blessing	bendito	blessed	[255]
1621	bendecir	to bless, foretell, forecast	Imperativo Negativo	Imperative Negative	Presente	Present	Bless! Don't bless!		no bendigas	no bendigáis		no bendiga	no bendigan	bendiciendo	blessing	bendito	blessed	[255]
1622	bordar	to embroider	Indicativo	Indicative	Presente	Present	I embroider, am embroidering	bordo	bordas	borda	bordamos	bordáis	bordan	bordando	embroidering	bordado	embroidered	[255]
1623	bordar	to embroider	Indicativo	Indicative	Futuro	Future	I will embroider	bordaré	bordarás	bordará	bordaremos	bordaréis	bordarán	bordando	embroidering	bordado	embroidered	[255]
1624	bordar	to embroider	Indicativo	Indicative	Imperfecto	Imperfect	I was embroidering, used to embroider, embroidered	bordaba	bordabas	bordaba	bordábamos	bordabais	bordaban	bordando	embroidering	bordado	embroidered	[255]
1625	bordar	to embroider	Indicativo	Indicative	Pretérito	Preterite	I embroidered	bordé	bordaste	bordó	bordamos	bordasteis	bordaron	bordando	embroidering	bordado	embroidered	[255]
1626	bordar	to embroider	Indicativo	Indicative	Condicional	Conditional	I would embroider	bordaría	bordarías	bordaría	bordaríamos	bordaríais	bordarían	bordando	embroidering	bordado	embroidered	[255]
1627	bordar	to embroider	Indicativo	Indicative	Presente perfecto	Present Perfect	I have embroidered	he bordado	has bordado	ha bordado	hemos bordado	habéis bordado	han bordado	bordando	embroidering	bordado	embroidered	[255]
1628	bordar	to embroider	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have embroidered	habré bordado	habrás bordado	habrá bordado	habremos bordado	habréis bordado	habrán bordado	bordando	embroidering	bordado	embroidered	[255]
1629	bordar	to embroider	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had embroidered	había bordado	habías bordado	había bordado	habíamos bordado	habíais bordado	habían bordado	bordando	embroidering	bordado	embroidered	[255]
1630	bordar	to embroider	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had embroidered	hube bordado	hubiste bordado	hubo bordado	hubimos bordado	hubisteis bordado	hubieron bordado	bordando	embroidering	bordado	embroidered	[255]
1631	bordar	to embroider	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have embroidered	habría bordado	habrías bordado	habría bordado	habríamos bordado	habríais bordado	habrían bordado	bordando	embroidering	bordado	embroidered	[255]
1632	bordar	to embroider	Subjuntivo	Subjunctive	Presente	Present	I embroider, am embroidering	borde	bordes	borde	bordemos	bordéis	borden	bordando	embroidering	bordado	embroidered	[255]
1633	bordar	to embroider	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I embroidered, was embroidering	bordara	bordaras	bordara	bordáramos	bordarais	bordaran	bordando	embroidering	bordado	embroidered	[255]
1634	bordar	to embroider	Subjuntivo	Subjunctive	Futuro	Future	I will embroider	bordare	bordares	bordare	bordáremos	bordareis	bordaren	bordando	embroidering	bordado	embroidered	[255]
1635	bordar	to embroider	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have embroidered, embroidered	haya bordado	hayas bordado	haya bordado	hayamos bordado	hayáis bordado	hayan bordado	bordando	embroidering	bordado	embroidered	[255]
1636	bordar	to embroider	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have embroidered	hubiere bordado	hubieres bordado	hubiere bordado	hubiéremos bordado	hubiereis bordado	hubieren bordado	bordando	embroidering	bordado	embroidered	[255]
1637	bordar	to embroider	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had embroidered	hubiera bordado	hubieras bordado	hubiera bordado	hubiéramos bordado	hubierais bordado	hubieran bordado	bordando	embroidering	bordado	embroidered	[255]
1638	bordar	to embroider	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Embroider! Don't embroider!		borda	bordad		borde	borden	bordando	embroidering	bordado	embroidered	[255]
1639	bordar	to embroider	Imperativo Negativo	Imperative Negative	Presente	Present	Embroider! Don't embroider!		no bordes	no bordéis		no borde	no borden	bordando	embroidering	bordado	embroidered	[255]
1640	borrar	to erase, rub out, to cross out, obliterate, wipe out	Indicativo	Indicative	Presente	Present	I erase, am erasing	borro	borras	borra	borramos	borráis	borran	borrando	erasing	borrado	erased	[255]
1641	borrar	to erase, rub out, to cross out, obliterate, wipe out	Indicativo	Indicative	Futuro	Future	I will erase	borraré	borrarás	borrará	borraremos	borraréis	borrarán	borrando	erasing	borrado	erased	[255]
1642	borrar	to erase, rub out, to cross out, obliterate, wipe out	Indicativo	Indicative	Imperfecto	Imperfect	I was erasing, used to erase, erased	borraba	borrabas	borraba	borrábamos	borrabais	borraban	borrando	erasing	borrado	erased	[255]
1643	borrar	to erase, rub out, to cross out, obliterate, wipe out	Indicativo	Indicative	Pretérito	Preterite	I erased	borré	borraste	borró	borramos	borrasteis	borraron	borrando	erasing	borrado	erased	[255]
1644	borrar	to erase, rub out, to cross out, obliterate, wipe out	Indicativo	Indicative	Condicional	Conditional	I would erase	borraría	borrarías	borraría	borraríamos	borraríais	borrarían	borrando	erasing	borrado	erased	[255]
1645	borrar	to erase, rub out, to cross out, obliterate, wipe out	Indicativo	Indicative	Presente perfecto	Present Perfect	I have erased	he borrado	has borrado	ha borrado	hemos borrado	habéis borrado	han borrado	borrando	erasing	borrado	erased	[255]
1646	borrar	to erase, rub out, to cross out, obliterate, wipe out	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have erased	habré borrado	habrás borrado	habrá borrado	habremos borrado	habréis borrado	habrán borrado	borrando	erasing	borrado	erased	[255]
1647	borrar	to erase, rub out, to cross out, obliterate, wipe out	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had erased	había borrado	habías borrado	había borrado	habíamos borrado	habíais borrado	habían borrado	borrando	erasing	borrado	erased	[255]
1648	borrar	to erase, rub out, to cross out, obliterate, wipe out	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had erased	hube borrado	hubiste borrado	hubo borrado	hubimos borrado	hubisteis borrado	hubieron borrado	borrando	erasing	borrado	erased	[255]
1649	borrar	to erase, rub out, to cross out, obliterate, wipe out	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have erased	habría borrado	habrías borrado	habría borrado	habríamos borrado	habríais borrado	habrían borrado	borrando	erasing	borrado	erased	[255]
1650	borrar	to erase, rub out, to cross out, obliterate, wipe out	Subjuntivo	Subjunctive	Presente	Present	I erase, am erasing	borre	borres	borre	borremos	borréis	borren	borrando	erasing	borrado	erased	[255]
1651	borrar	to erase, rub out, to cross out, obliterate, wipe out	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I erased, was erasing	borrara	borraras	borrara	borráramos	borrarais	borraran	borrando	erasing	borrado	erased	[255]
1652	borrar	to erase, rub out, to cross out, obliterate, wipe out	Subjuntivo	Subjunctive	Futuro	Future	I will erase	borrare	borrares	borrare	borráremos	borrareis	borraren	borrando	erasing	borrado	erased	[255]
1653	borrar	to erase, rub out, to cross out, obliterate, wipe out	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have erased, erased	haya borrado	hayas borrado	haya borrado	hayamos borrado	hayáis borrado	hayan borrado	borrando	erasing	borrado	erased	[255]
1654	borrar	to erase, rub out, to cross out, obliterate, wipe out	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have erased	hubiere borrado	hubieres borrado	hubiere borrado	hubiéremos borrado	hubiereis borrado	hubieren borrado	borrando	erasing	borrado	erased	[255]
1655	borrar	to erase, rub out, to cross out, obliterate, wipe out	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had erased	hubiera borrado	hubieras borrado	hubiera borrado	hubiéramos borrado	hubierais borrado	hubieran borrado	borrando	erasing	borrado	erased	[255]
1656	borrar	to erase, rub out, to cross out, obliterate, wipe out	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Erase! Don't erase!		borra	borrad		borre	borren	borrando	erasing	borrado	erased	[255]
1657	borrar	to erase, rub out, to cross out, obliterate, wipe out	Imperativo Negativo	Imperative Negative	Presente	Present	Erase! Don't erase!		no borres	no borréis		no borre	no borren	borrando	erasing	borrado	erased	[255]
1658	brillar	to shine, sparkle, glitter, gleam	Indicativo	Indicative	Presente	Present	I shine, am shining	brillo	brillas	brilla	brillamos	brilláis	brillan	brillando	shining	brillado	shone	[255]
1659	brillar	to shine, sparkle, glitter, gleam	Indicativo	Indicative	Futuro	Future	I will shine	brillaré	brillarás	brillará	brillaremos	brillaréis	brillarán	brillando	shining	brillado	shone	[255]
1660	brillar	to shine, sparkle, glitter, gleam	Indicativo	Indicative	Imperfecto	Imperfect	I was shining, used to shine, shined	brillaba	brillabas	brillaba	brillábamos	brillabais	brillaban	brillando	shining	brillado	shone	[255]
1661	brillar	to shine, sparkle, glitter, gleam	Indicativo	Indicative	Pretérito	Preterite	I shined	brillé	brillaste	brilló	brillamos	brillasteis	brillaron	brillando	shining	brillado	shone	[255]
1662	brillar	to shine, sparkle, glitter, gleam	Indicativo	Indicative	Condicional	Conditional	I would shine	brillaría	brillarías	brillaría	brillaríamos	brillaríais	brillarían	brillando	shining	brillado	shone	[255]
1663	brillar	to shine, sparkle, glitter, gleam	Indicativo	Indicative	Presente perfecto	Present Perfect	I have shone	he brillado	has brillado	ha brillado	hemos brillado	habéis brillado	han brillado	brillando	shining	brillado	shone	[255]
1664	brillar	to shine, sparkle, glitter, gleam	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have shone	habré brillado	habrás brillado	habrá brillado	habremos brillado	habréis brillado	habrán brillado	brillando	shining	brillado	shone	[255]
1665	brillar	to shine, sparkle, glitter, gleam	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had shone	había brillado	habías brillado	había brillado	habíamos brillado	habíais brillado	habían brillado	brillando	shining	brillado	shone	[255]
1666	brillar	to shine, sparkle, glitter, gleam	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had shone	hube brillado	hubiste brillado	hubo brillado	hubimos brillado	hubisteis brillado	hubieron brillado	brillando	shining	brillado	shone	[255]
1667	charlar	to chat, talk	Subjuntivo	Subjunctive	Presente	Present	I chat, am chatting	charle	charles	charle	charlemos	charléis	charlen	charlando	chatting	charlado	chatted	[255]
1668	brillar	to shine, sparkle, glitter, gleam	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have shone	habría brillado	habrías brillado	habría brillado	habríamos brillado	habríais brillado	habrían brillado	brillando	shining	brillado	shone	[255]
1669	brillar	to shine, sparkle, glitter, gleam	Subjuntivo	Subjunctive	Presente	Present	I shine, am shining	brille	brilles	brille	brillemos	brilléis	brillen	brillando	shining	brillado	shone	[255]
1670	brillar	to shine, sparkle, glitter, gleam	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I shined, was shining	brillara	brillaras	brillara	brilláramos	brillarais	brillaran	brillando	shining	brillado	shone	[255]
1671	brillar	to shine, sparkle, glitter, gleam	Subjuntivo	Subjunctive	Futuro	Future	I will shine	brillare	brillares	brillare	brilláremos	brillareis	brillaren	brillando	shining	brillado	shone	[255]
1672	brillar	to shine, sparkle, glitter, gleam	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have shone, shined	haya brillado	hayas brillado	haya brillado	hayamos brillado	hayáis brillado	hayan brillado	brillando	shining	brillado	shone	[255]
1673	brillar	to shine, sparkle, glitter, gleam	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have shone	hubiere brillado	hubieres brillado	hubiere brillado	hubiéremos brillado	hubiereis brillado	hubieren brillado	brillando	shining	brillado	shone	[255]
1674	brillar	to shine, sparkle, glitter, gleam	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had shone	hubiera brillado	hubieras brillado	hubiera brillado	hubiéramos brillado	hubierais brillado	hubieran brillado	brillando	shining	brillado	shone	[255]
1675	brillar	to shine, sparkle, glitter, gleam	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Shine! Don't shine!		brilla	brillad		brille	brillen	brillando	shining	brillado	shone	[255]
1676	brillar	to shine, sparkle, glitter, gleam	Imperativo Negativo	Imperative Negative	Presente	Present	Shine! Don't shine!		no brilles	no brilléis		no brille	no brillen	brillando	shining	brillado	shone	[255]
1677	brindar	to toast	Indicativo	Indicative	Presente	Present	I toast, am toasting	brindo	brindas	brinda	brindamos	brindáis	brindan	brindando	toasting	brindado	toasted	[255]
1678	brindar	to toast	Indicativo	Indicative	Futuro	Future	I will toast	brindaré	brindarás	brindará	brindaremos	brindaréis	brindarán	brindando	toasting	brindado	toasted	[255]
1679	brindar	to toast	Indicativo	Indicative	Imperfecto	Imperfect	I was toasting, used to toast, toasted	brindaba	brindabas	brindaba	brindábamos	brindabais	brindaban	brindando	toasting	brindado	toasted	[255]
1680	brindar	to toast	Indicativo	Indicative	Pretérito	Preterite	I toasted	brindé	brindaste	brindó	brindamos	brindasteis	brindaron	brindando	toasting	brindado	toasted	[255]
1681	brindar	to toast	Indicativo	Indicative	Condicional	Conditional	I would toast	brindaría	brindarías	brindaría	brindaríamos	brindaríais	brindarían	brindando	toasting	brindado	toasted	[255]
1682	brindar	to toast	Indicativo	Indicative	Presente perfecto	Present Perfect	I have toasted	he brindado	has brindado	ha brindado	hemos brindado	habéis brindado	han brindado	brindando	toasting	brindado	toasted	[255]
1683	brindar	to toast	Indicativo	Indicative	Futuro perfecto	Future Perfect	I will have toasted	habré brindado	habrás brindado	habrá brindado	habremos brindado	habréis brindado	habrán brindado	brindando	toasting	brindado	toasted	[255]
1684	brindar	to toast	Indicativo	Indicative	Pluscuamperfecto	Past Perfect	I had toasted	había brindado	habías brindado	había brindado	habíamos brindado	habíais brindado	habían brindado	brindando	toasting	brindado	toasted	[255]
1685	brindar	to toast	Indicativo	Indicative	Pretérito anterior	Preterite (Archaic)	I had toasted	hube brindado	hubiste brindado	hubo brindado	hubimos brindado	hubisteis brindado	hubieron brindado	brindando	toasting	brindado	toasted	[255]
1686	brindar	to toast	Indicativo	Indicative	Condicional perfecto	Conditional Perfect	I would have toasted	habría brindado	habrías brindado	habría brindado	habríamos brindado	habríais brindado	habrían brindado	brindando	toasting	brindado	toasted	[255]
1687	brindar	to toast	Subjuntivo	Subjunctive	Presente	Present	I toast, am toasting	brinde	brindes	brinde	brindemos	brindéis	brinden	brindando	toasting	brindado	toasted	[255]
1688	brindar	to toast	Subjuntivo	Subjunctive	Imperfecto	Imperfect	I toasted, was toasting	brindara	brindaras	brindara	brindáramos	brindarais	brindaran	brindando	toasting	brindado	toasted	[255]
1689	brindar	to toast	Subjuntivo	Subjunctive	Futuro	Future	I will toast	brindare	brindares	brindare	brindáremos	brindareis	brindaren	brindando	toasting	brindado	toasted	[255]
1690	brindar	to toast	Subjuntivo	Subjunctive	Presente perfecto	Present Perfect	I have toasted, toasted	haya brindado	hayas brindado	haya brindado	hayamos brindado	hayáis brindado	hayan brindado	brindando	toasting	brindado	toasted	[255]
1691	brindar	to toast	Subjuntivo	Subjunctive	Futuro perfecto	Future Perfect	I will have toasted	hubiere brindado	hubieres brindado	hubiere brindado	hubiéremos brindado	hubiereis brindado	hubieren brindado	brindando	toasting	brindado	toasted	[255]
1692	brindar	to toast	Subjuntivo	Subjunctive	Pluscuamperfecto	Past Perfect	I had toasted	hubiera brindado	hubieras brindado	hubiera brindado	hubiéramos brindado	hubierais brindado	hubieran brindado	brindando	toasting	brindado	toasted	[255]
1693	brindar	to toast	Imperativo Afirmativo	Imperative Affirmative	Presente	Present	Toast! Don't toast!		brinda	brindad		brinde	brinden	brindando	toasting	brindado	toasted	[255]
